,﻿V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Survey1_Intro,Participant_ID,Survey1_Shopping_Intro,Survey1_Shopping_Frequency,Survey1_Shopping_DirectFromRetailer,Survey1_Shopping_FromThirdParty,Survey1_Shopping_Household,Survey1_Shopping_Clothes,Survey1_Shopping_Luxury,Survey1_Shopping_Food,Survey1_Shopping_Electronics,Survey1_Shopping_Sports,Survey1_Shopping_Tools,Survey1_Shopping_Office,Survey1_Shopping_Pet,Q6_12,Survey1_MostSpent,Survey1_Prefs_Intro,Survey1_Prefs_MoreLikelyShopOnline,Survey1_Personality_Extroverted,Survey1_Personality_Critical,Survey1_Personality_Dependable,Survey1_Personality_Anxious,Survey1_Personality_NewExperiences,Survey1_Personality_Reserved,Survey1_Personality_Sympathetic,Survey1_Personality_Disorganized,Survey1_Personality_CalmStable,Survey1_Personality_Conventional,Survey1_Attitude_OwnAction,Survey1_Attitude_ProtectPersonalInts,Survey1_Attitude_Determine,Survey1_Attitude_Accidental,Survey1_Attitude_BadLuck,Survey1_Attitude_Lucky,Survey1_Attitude_PressureGroups,Survey1_Attitude_Controlled,Survey1_Attitude_Powerful,Survey1_Affect_interested,Survey1_Affect_distressed,Survey1_Affect_excited,Survey1_Affect_upset,Survey1_Affect_strong,Survey1_Affect_guilty,Survey1_Affect_scared,Survey1_Affect_hostile,Survey1_Affect_enthusiastic,Survey1_Affect_proud,Survey1_Affect_irritable,Survey1_Affect_alert,Survey1_Affect_ashamed,Survey1_Affect_inspired,Survey1_Affect_nervous,Survey1_Affect_determined,Survey1_Affect_attentive,Survey1_Affect_jittery,Survey1_Affect_active,Survey1_Affect_afraid,Survey1_Privacy_Intro,Survey1_Privacy_General,Survey1_Privacy_Orgs,Survey1_Privacy_IDTheft,Survey1_Privacy_PersonalInfo,Survey1_Privacy_CC,Survey1_Privacy_Email,Survey1_Time_Devices,Survey1_Time_Internet,Survey1_WebSkills_AdvSearch,Survey1_WebSkills_PDF,Survey1_WebSKills_Spyware,Survey1_WebSkills_Wiki,Survey1_WebSkills_Cache,Survey1_WebSkills_Phishing,Survey1_WebSkills_MobilePay,Survey1_Familiarity_IP,Survey1_Familiarity_Cookie,Survey1_Familiarity_Incognito,Survey1_Familiarity_Encryption,Survey1_Familiarity_SSL,Survey1_Familiarity_VPN,Survey1_Familiarity_ISP,Survey1_Familiarity_ClientServer,Survey1_Familiarity_Router,Survey1_Familiarity_WifiEncryption,Survey1_Familiarity_GoogWallet,Survey1_Familiarity_ApplePay,Survey1_Security_IncognitoSafe,Survey1_Security_IPIdentify,Survey1_Security_SecureHTTPS,Survey1_Security_VPNVisible,Survey1_Security_WIFINotVisible,Survey1_Security_WIFIBroadcast,Survey1_Security_Paypal,Survey1_TwoWks_Intro,Survey1_Device_Lock,Survey1_Device_Password,Survey1_Device_ManualLock,Survey1_Device_PIN,Survey1_Proactive_NoLinkVerify,Survey1_Proactive_LookFeel,Survey1_Proactive_NoSubmitVerify,Survey1_Proactive_Mouseover,Survey1_Proactive_AssumeFix,Survey1_Updating_Prompt,Survey1_Updating_Programs,Survey1_Updating_Antivirus,Survey1_WIFI_VPN,Survey1_WIFI_SSH,Survey1_WIFI_Autoconnect,Survey1_WIFI_LeftBrowserOpen,Survey1_WIFI_LoggedOut,Survey1_WIFI_Sensitive,Survey1_WIFI_NonSensitive,Survey1_WIFI_HTTPS,Survey1_WIFI_Firewall,Survey1_Dem_Intro,Survey1_Dem_Age,Survey1_Dem_Gender,Survey1_Dem_Hispanic,Survey1_Dem_Race,Q29_TEXT,Survey1_Dem_CompSci,Q31_1,Q31_2,Survey1_Dem_Employment,Q32_TEXT,Survey1_Dem_WorkField,Survey1_Dem_Education,Q34_TEXT,Survey1_Dem_DegreeField,Survey1_Dem_StudentType,Q36_TEXT,Survey1_Dem_StudentField,Survey1_SurveyOver,LocationLatitude,LocationLongitude,LocationAccuracy,Unnamed: 147
0,ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,Please complete this survey. The data / gathered from this survey will help us train our intelligen...,What is your participant number? / (Experimenter will give you this.) ,"In the questions that / follow, we ask about your online shopping activities to help our / classifier...",How often do you shop online (both browsing / and purchasing products)? ,"Have you ever purchased a product from the / following places online? -Directly from a retailer, such as gap.com, homedepot.com, bestbuy.com, etc.","Have you ever purchased a product from the / following places online? -From a third-party website, such as amazon.com, etc.","Have you ever purchased the following / products on the Internet? -Household goods (e.g. beds, blankets, sofas)",Have you ever purchased the following / products on the Internet? -Clothes and apparel,Have you ever purchased the following / products on the Internet? -Luxury goods,Have you ever purchased the following / products on the Internet? -Food and groceries,"Have you ever purchased the following / products on the Internet? -Consumer electronics (e.g. computers, televisions, MP3 players)","Have you ever purchased the following / products on the Internet? -Sporting goods (e.g. football, baseball bat, soccer goal)","Have you ever purchased the following / products on the Internet? -Tools and home improvement (e.g. screwdriver, wrench, measuring tape)","Have you ever purchased the following / products on the Internet? -Office supplies (e.g. pen, paper, stapler)","Have you ever purchased the following / products on the Internet? -Pet Supplies (e.g. dog food, aquarium, animal medicine)",Have you ever purchased the following / products on the Internet? -Books,What is the most you have spent on a / product online without physically seeing it / first?,"The questions that follow / ask about your online shopping preferences, personality / characteristics...",Which of the following / would make you more likely to shop online?,"Here are a number of personality traits that may or may not apply to you. Please indicate the ext...-Extraverted, enthusiastic.","Here are a number of personality traits that may or may not apply to you. Please indicate the ext...-Critical, quarrelsome.","Here are a number of personality traits that may or may not apply to you. Please indicate the ext...-Dependable, self-disciplined.","Here are a number of personality traits that may or may not apply to you. Please indicate the ext...-Anxious, easily upset.","Here are a number of personality traits that may or may not apply to you. Please indicate the ext...-Open to new experiences, complex.","Here are a number of personality traits that may or may not apply to you. Please indicate the ext...-Reserved, quiet.","Here are a number of personality traits that may or may not apply to you. Please indicate the ext...-Sympathetic, warm.","Here are a number of personality traits that may or may not apply to you. Please indicate the ext...-Disorganized, careless.","Here are a number of personality traits that may or may not apply to you. Please indicate the ext...-Calm, emotionally stable.","Here are a number of personality traits that may or may not apply to you. Please indicate the ext...-Conventional, uncreative.",Following is a series of / attitude statements. Each represents a commonly held opinion. There / are...-My life is determined by my own actions.,Following is a series of / attitude statements. Each represents a commonly held opinion. There / are...-I am usually able to protect my personal interests.,Following is a series of / attitude statements. Each represents a commonly held opinion. There / are...-I can pretty much determine what will happen in my life.,"Following is a series of / attitude statements. Each represents a commonly held opinion. There / are...-To a great extent, my life is controlled by accidental happenings.",Following is a series of / attitude statements. Each represents a commonly held opinion. There / are...-Often there is no chance of protecting my personal interest from bad luck happenings.,"Following is a series of / attitude statements. Each represents a commonly held opinion. There / are...-When I get what I want, it's usually because I'm lucky.",Following is a series of / attitude statements. Each represents a commonly held opinion. There / are...-People like myself have very little chance of protecting our personal interests where they conflict with those of strong pressure groups.,Following is a series of / attitude statements. Each represents a commonly held opinion. There / are...-My life is chiefly controlled by powerful others.,Following is a series of / attitude statements. Each represents a commonly held opinion. There / are...-I feel like what happens in my life is mostly determined by powerful people.,This scale consists of a / number of words that describe different feelings and emotions. Read / each...-interested,This scale consists of a / number of words that describe different feelings and emotions. Read / each...-distressed,This scale consists of a / number of words that describe different feelings and emotions. Read / each...-excited,This scale consists of a / number of words that describe different feelings and emotions. Read / each...-upset,This scale consists of a / number of words that describe different feelings and emotions. Read / each...-strong,This scale consists of a / number of words that describe different feelings and emotions. Read / each...-guilty,This scale consists of a / number of words that describe different feelings and emotions. Read / each...-scared,This scale consists of a / number of words that describe different feelings and emotions. Read / each...-hostile,This scale consists of a / number of words that describe different feelings and emotions. Read / each...-enthusiastic,This scale consists of a / number of words that describe different feelings and emotions. Read / each...-proud,This scale consists of a / number of words that describe different feelings and emotions. Read / each...-irritable,This scale consists of a / number of words that describe different feelings and emotions. Read / each...-alert,This scale consists of a / number of words that describe different feelings and emotions. Read / each...-ashamed,This scale consists of a / number of words that describe different feelings and emotions. Read / each...-inspired,This scale consists of a / number of words that describe different feelings and emotions. Read / each...-nervous,This scale consists of a / number of words that describe different feelings and emotions. Read / each...-determined,This scale consists of a / number of words that describe different feelings and emotions. Read / each...-attentive,This scale consists of a / number of words that describe different feelings and emotions. Read / each...-jittery,This scale consists of a / number of words that describe different feelings and emotions. Read / each...-active,This scale consists of a / number of words that describe different feelings and emotions. Read / each...-afraid,Searching for and buying products / online requires using a computing device and the Internet. The...,"These are some things /  people may think of when shopping or doing other things /  online. Please an...-In general, how concerned are you about your privacy while you are using the internet?",These are some things /  people may think of when shopping or doing other things /  online. Please an...-Are you concerned about online organizations not being who they claim they are?,These are some things /  people may think of when shopping or doing other things /  online. Please an...-Are you concerned about online identity theft?,These are some things /  people may think of when shopping or doing other things /  online. Please an...-Are you concerned about people you do not know obtaining personal information about you from your online activities?,These are some things /  people may think of when shopping or doing other things /  online. Please an...-Are you concerned that if you use your credit card to buy something on the internet your credit card number will be obtained/intercepted by someone else?,These are some things /  people may think of when shopping or doing other things /  online. Please an...-Are you concerned that an email you send may be read by someone else besides the person you sent it to?,Approximately how many hours per week do you / spend on computing devices (desktop or laptop comput...,Approximately how many hours per week do you / spend on the Internet (on any computing device)?,How familiar are you with the following computer and Internet-related items? Please choose a numb...-Advanced search,How familiar are you with the following computer and Internet-related items? Please choose a numb...-PDF,How familiar are you with the following computer and Internet-related items? Please choose a numb...-Spyware,How familiar are you with the following computer and Internet-related items? Please choose a numb...-Wiki,How familiar are you with the following computer and Internet-related items? Please choose a numb...-Cache,How familiar are you with the following computer and Internet-related items? Please choose a numb...-Phishing,How familiar are you with the following computer and Internet-related items? Please choose a numb...-Mobile payment, How would you rate your familiarity / with the following concepts or tools?  -Internet Protocol (IP) address, How would you rate your familiarity / with the following concepts or tools?  -Cookie, How would you rate your familiarity / with the following concepts or tools?  -Incognito mode / private browsing mode in browsers, How would you rate your familiarity / with the following concepts or tools?  -Encryption, How would you rate your familiarity / with the following concepts or tools?  -Secure Sockets Layer (SSL) / Transport Layer Security (TLS), How would you rate your familiarity / with the following concepts or tools?  -Virtual Private Network (VPN), How would you rate your familiarity / with the following concepts or tools?  -Internet Service Provider (ISP), How would you rate your familiarity / with the following concepts or tools?  -Clients and servers, How would you rate your familiarity / with the following concepts or tools?  -Router," How would you rate your familiarity / with the following concepts or tools?  -Wired Equivalent Privacy (WEP), Wi-Fi Protected Access (WPA), & Wi-Fi Protected Access II (WPA2)", How would you rate your familiarity / with the following concepts or tools?  -Google Wallet, How would you rate your familiarity / with the following concepts or tools?  -Apple Pay,Please indicate how much / you agree or disagree with each statement.  If you are / unfamiliar with t...-Incognito mode / private browsing mode in browsers prevents websites from collecting information about you.,Please indicate how much / you agree or disagree with each statement.  If you are / unfamiliar with t...-Internet Protocol (IP) addresses can always uniquely identify your computer.,"Please indicate how much / you agree or disagree with each statement.  If you are / unfamiliar with t...-When a website uses ""https"" in its web address, it secures communication between a person's computing device and the website itself.","Please indicate how much / you agree or disagree with each statement.  If you are / unfamiliar with t...-When using Virtual Private Network (VPN), network traffic is easily visible to others.","Please indicate how much / you agree or disagree with each statement.  If you are / unfamiliar with t...-When using Wi-Fi, your network traffic is never visible to other people using the same network.","Please indicate how much / you agree or disagree with each statement.  If you are / unfamiliar with t...-During Wi-Fi use, a computing device broadcasts data in order to access online information.",Please indicate how much / you agree or disagree with each statement.  If you are / unfamiliar with t...-PayPal is a type of credit card used for online shopping.,The questions that follow ask about your / computing and online behaviors during the PAST TWO WEEKS...,Indicate how often you did the following things / during the past / two weeks. If you do not have the...-I had my computer screen automatically lock if I didn’t use it for a prolonged period of time.,Indicate how often you did the following things / during the past / two weeks. If you do not have the...-I used a password/passcode to unlock my laptop or tablet.,Indicate how often you did the following things / during the past / two weeks. If you do not have the...-I manually locked my computer screen when I stepped away from it.,Indicate how often you did the following things / during the past / two weeks. If you do not have the...-I used a PIN or passcode to unlock my mobile phone.,"Indicate how often you did the / following things during the past two / weeks. If you are unfamiliar...-When someone sent me a link, I opened it without first verifying where it went.","Indicate how often you did the / following things during the past two / weeks. If you are unfamiliar...-I knew what website I was visiting based on its look and feel, rather than by looking at the URL bar.",Indicate how often you did the / following things during the past two / weeks. If you are unfamiliar...-I submitted information to websites without first verifying that it would be sent securely.,"Indicate how often you did the / following things during the past two / weeks. If you are unfamiliar...-When browsing websites, I mouseovered links to see where they went, before clicking them.","Indicate how often you did the / following things during the past two / weeks. If you are unfamiliar...-If I discovered a security problem, I continued what I was doing because I assumed someone else would fix it.","Indicate how often you did the following things during the / past two weeks. If you do not have a c...-When I was prompted about a software update, I installed it right away.",Indicate how often you did the following things during the / past two weeks. If you do not have a c...-I tried to make sure that the programs I used were up-to-date.,Indicate how often you did the following things during the / past two weeks. If you do not have a c...-I verified that my anti-virus software had been regularly updating itself.,"While using Wi-Fi, / indicate how often you did the following things during the / past two weeks. If...-I used a Virtual Private Network (VPN) to conduct certain online activities","While using Wi-Fi, / indicate how often you did the following things during the / past two weeks. If...-I used a Secure Shell (SSH) tunnel to conduct certain online activities.","While using Wi-Fi, / indicate how often you did the following things during the / past two weeks. If...-I allowed my devices to automatically connect to the nearest Wi-Fi access point.","While using Wi-Fi, / indicate how often you did the following things during the / past two weeks. If...-I left my browser window open when I was done using it.","While using Wi-Fi, / indicate how often you did the following things during the / past two weeks. If...-I logged out of my online user accounts (e.g., online shopping, e-mail, social network sites, etc.) when I finished using them.","While using Wi-Fi, / indicate how often you did the following things during the / past two weeks. If...-I did sensitive online activities over open or public Wi-Fi. (e.g. banking, inputting credit card information)","While using Wi-Fi, / indicate how often you did the following things during the / past two weeks. If...-I did non-sensitive online activities over open or public Wi-Fi. (e.g. browsing a news source)","While using Wi-Fi, / indicate how often you did the following things during the / past two weeks. If...-I paid attention to whether websites used “https” in their URL.","While using Wi-Fi, / indicate how often you did the following things during the / past two weeks. If...-I kept a firewall enabled at all times on my device(s).",Please answer the questions that /  follow to the best of your knowledge. ,What is your age? (Enter / numeric whole number.),What is your / gender?,Are you Hispanic or / Latino?,Which racial group do you / consider yourself?,Which racial group do you / consider yourself?-TEXT,Do you have a background / in computer science or related domains?,"If you do have a / background in computer science or related domains, where did you / get this knowle...-Schooling (classroom or online settings)","If you do have a / background in computer science or related domains, where did you / get this knowle...-Work or job activities (not school related)",What is your current / primary occupational status?,What is your current / primary occupational status?-TEXT,"If you are currently / employed, what field of work are you employed in?",What is the highest / educational degree you have completed up to this / point? ,What is the highest / educational degree you have completed up to this / point? -TEXT,What was the subject of / your degree for the highest educational degree you have / completed?,"If you are currently a / student, what best describes your degree program?","If you are currently a / student, what best describes your degree program?-TEXT","If you are currently a / student, what is the subject of your degree?",Thank you for completing / this survey! Please let the experimenter know you are finished with / this...,LocationLatitude,LocationLongitude,LocationAccuracy,
1,R_3je4cpbJ4tmh5wX,Default Response Set,Anonymous,,,,1,2015-04-13 18:50:39,2015-04-13 19:10:46,1,,00,1,2,2,1,2,1,2,2,1,1,2,2,2,,,1,1,3,4,4,2,4,2,3,2,4,2,3,3,4,3,3,2,2,3,3,2,1,1,1,1,1,1,1,3,1,1,4,1,1,1,1,3,1,2,1,1,2,4,4,4,3,3,4,4,4,5,2,3,1,2,,3,4,4,4,2,3,3,4,4,3,,,4,3,3,2,4,3,,1,1,1,1,5,2,4,3,3,6,4,4,1,2,2,4,4,1,1,2,3,2,1,21,2,2,5,,,,,4,,,5,,,2,,Professional Writing/Human-Computer Interaction,1,40.443893432617,-79.956100463867,-1,
2,R_zdUkVHmG1rDbFaV,Default Response Set,Anonymous,,,,1,2015-05-11 15:02:50,2015-05-11 15:10:56,1,1,000,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,40.443893432617,-79.956100463867,-1,
3,R_3ikeGscVh7cFAaA,Default Response Set,Anonymous,,,,1,2015-05-19 17:07:45,2015-05-19 17:16:37,1,1,00000,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,40.443893432617,-79.956100463867,-1,
4,R_CaIg2LPMuP9lu7f,Default Response Set,Anonymous,,,,1,2015-06-01 14:14:54,2015-06-01 14:52:43,1,1,1234,1,4,1,1,1,1,2,1,1,1,2,1,2,,3,1,,2,3,4,4,5,5,4,2,4,3,4,4,3,2,4,3,3,3,4,1,2,2,1,2,1,1,1,2,3,1,1,1,1,2,4,5,2,2,1,1,3,2,4,5,5,5,4,2,5,4,1,4,3,2,3,4,3,4,4,2,3,2,2,3,4,2,2,4,5,5,4,3,2,2,1,5,5,5,5,1,4,4,3,1,3,3,5,3,2,5,5,2,4,4,2,3,1,20,1,2,2,,1,1,,4,,HCI,5,,BS,2,,Operations Research,1,40.443893432617,-79.956100463867,-1,
5,R_1eWWGOqdlWvoHSh,Default Response Set,Anonymous,,,,1,2015-06-02 10:35:08,2015-06-02 10:49:12,1,1,123,1,5,1,1,1,1,1,1,1,1,1,1,2,,2,1,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,5,5,5,5,1,5,3,1,5,3,3,3,3,2,3,2,3,3,2,2,2,3,3,3,3,3,3,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,22,1,2,2,,1,1,1,6,,cs,7,,BA,2,,BA,1,40.443893432617,-79.956100463867,-1,
6,R_2zHEg2eYstnenNV,Default Response Set,Anonymous,,,,1,2015-06-02 14:02:23,2015-06-02 14:19:12,1,1,123,1,6,1,1,1,1,1,2,1,1,1,1,2,,3,1,,2,2,4,2,3,4,4,2,4,2,4,4,4,1,2,3,1,2,2,3,1,2,1,3,1,1,1,3,2,1,3,1,3,1,4,3,1,3,1,1,4,2,3,2,2,2,5,4,5,5,5,5,5,5,5,4,4,5,4,3,4,5,5,4,4,5,5,1,1,4,1,1,5,1,1,4,5,1,1,3,4,4,3,1,3,3,2,1,1,2,4,3,1,4,3,5,1,19,1,2,5,,1,1,2,1,,Research,5,,,2,,Cognitive Science and Human-Computer Interaction,1,40.443893432617,-79.956100463867,-1,
7,R_1Ap2bFrJh2RUSqd,Default Response Set,Anonymous,,,,1,2015-06-02 14:55:06,2015-06-02 15:22:57,1,1,D1,1,6,1,1,1,1,1,1,1,2,1,1,2,,5,1,,2,5,3,4,4,4,4,2,5,2,4,4,4,1,2,2,3,2,2,2,2,2,1,2,1,1,1,2,1,1,4,1,2,2,2,4,3,1,1,1,3,4,3,3,2,4,5,5,5,5,4,5,4,4,4,3,4,4,3,3,4,3,4,3,3,3,3,1,4,4,2,3,4,2,1,5,5,3,1,4,1,4,2,1,4,5,4,1,1,1,3,3,1,3,5,4,1,19,1,2,5,,1,1,1,1,,Design Research,4,,,2,,Communication Design,1,40.443893432617,-79.956100463867,-1,
8,R_UQ1k6EDHagFrmWB,Default Response Set,Anonymous,,,,1,2015-06-03 10:57:50,2015-06-03 11:27:36,1,1,1,1,6,1,1,2,1,1,2,1,1,1,2,2,,3,1,,4,3,5,2,4,2,5,2,4,3,4,4,4,4,2,2,2,2,2,3,2,1,1,1,1,1,1,3,2,1,1,1,2,1,3,3,1,3,1,1,4,2,4,4,3,3,5,5,4,5,4,4,3,4,4,4,5,5,4,4,5,4,4,4,4,4,4,1,1,5,2,1,5,1,1,5,5,3,5,2,2,2,3,1,3,4,3,1,6,2,4,3,6,4,5,6,1,,2,2,2,,1,1,1,4,,,8,,,5,,,1,40.443893432617,-79.956100463867,-1,
9,R_xrezBlTmOvjecff,Default Response Set,Anonymous,,,,1,2015-06-03 15:30:26,2015-06-03 16:34:09,1,1,H3,1,3,2,1,1,2,2,2,1,2,2,1,2,1,2,1,,3,3,4,3,4,4,4,3,3,2,4,4,3,2,2,2,2,3,3,3,1,3,1,2,1,1,1,2,2,1,4,1,2,1,2,5,2,2,1,1,3,3,4,3,4,2,4,3,2,4,2,4,4,2,1,4,4,3,4,3,3,4,4,4,3,3,2,1,2,4,3,1,4,2,1,5,5,4,5,3,3,3,2,3,1,3,7,1,3,3,3,4,1,3,2,6,1,21,1,2,5,,1,1,1,4,,,5,,No subject,2,,Computer Science,1,40.443893432617,-79.956100463867,-1,
