,﻿V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Survey2_Intro,Participant_ID,Survey2_WillingToSpend,Survey2_Affect_interested,Survey2_Affect_distressed,Survey2_Affect_excited,Survey2_Affect_upset,Survey2_Affect_strong,Survey2_Affect_guilty,Survey2_Affect_scared,Survey2_Affect_hostile,Survey2_Affect_enthusiastic,Survey2_Affect_proud,Survey2_Affect_irritable,Survey2_Affect_alert,Survey2_Affect_ashamed,Survey2_Affect_inspired,Survey2_Affect_nervous,Survey2_Affect_determined,Survey2_Affect_attentive,Survey2_Affect_jittery,Survey2_Affect_active,Survey2_Affect_afraid,Survey2_WIFIScenario_Intro,Survey2_WIFIScenario_Sec_News,Survey2_WIFIScenario_Sec_Fitness,Survey2_WIFIScenario_Sec_PersonalProb,Survey2_WIFIScenario_Sec_Bank,Survey2_WIFIScenario_Sec_Purchase,Survey2_WIFIScenario_Sec_PersonalEmail,Survey2_WIFIScenario_Insec_News,Survey2_WIFIScenario_Insec_Fitness,Survey2_WIFIScenario_Insec_PersonalProb,Survey2_WIFIScenario_Insec_Bank,Survey2_WIFIScenario_Insec_Purchase,Survey2_WIFIScenario_Insec_PersonalEmail,Survey2_WIFIEd_Intro,Survey2_WIFIEd_DeviceComm,Survey2_WIFIEd_OthersSee,Survey2_WIFIEd_MakeSecure,Survey2_SurveyOver,LocationLatitude,LocationLongitude,LocationAccuracy,Unnamed: 54
0,ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,Please complete this short survey. This survey contains follow-up /  questions that will help us tr...,What is your participant / number? (Experimenter will give you this.) ,"How much would you be / willing to spend on a product online without physically seeing it / first, if...",This scale consists of a / number of words that describe different feelings and emotions. Read / each...-interested,This scale consists of a / number of words that describe different feelings and emotions. Read / each...-distressed,This scale consists of a / number of words that describe different feelings and emotions. Read / each...-excited,This scale consists of a / number of words that describe different feelings and emotions. Read / each...-upset,This scale consists of a / number of words that describe different feelings and emotions. Read / each...-strong,This scale consists of a / number of words that describe different feelings and emotions. Read / each...-guilty,This scale consists of a / number of words that describe different feelings and emotions. Read / each...-scared,This scale consists of a / number of words that describe different feelings and emotions. Read / each...-hostile,This scale consists of a / number of words that describe different feelings and emotions. Read / each...-enthusiastic,This scale consists of a / number of words that describe different feelings and emotions. Read / each...-proud,This scale consists of a / number of words that describe different feelings and emotions. Read / each...-irritable,This scale consists of a / number of words that describe different feelings and emotions. Read / each...-alert,This scale consists of a / number of words that describe different feelings and emotions. Read / each...-ashamed,This scale consists of a / number of words that describe different feelings and emotions. Read / each...-inspired,This scale consists of a / number of words that describe different feelings and emotions. Read / each...-nervous,This scale consists of a / number of words that describe different feelings and emotions. Read / each...-determined,This scale consists of a / number of words that describe different feelings and emotions. Read / each...-attentive,This scale consists of a / number of words that describe different feelings and emotions. Read / each...-jittery,This scale consists of a / number of words that describe different feelings and emotions. Read / each...-active,This scale consists of a / number of words that describe different feelings and emotions. Read / each...-afraid,The questions that follow ask what / you would do in a particular situation. Answer each question t...,Imagine you are using the Internet at home on secure Wi-Fi (i.e. /  personal Wi-Fi or password prot...-Read today's front page news on a general news website,Imagine you are using the Internet at home on secure Wi-Fi (i.e. /  personal Wi-Fi or password prot...-Read information about enhancing physical fitness,Imagine you are using the Internet at home on secure Wi-Fi (i.e. /  personal Wi-Fi or password prot...-Post in an online group about a personal problem you are having,Imagine you are using the Internet at home on secure Wi-Fi (i.e. /  personal Wi-Fi or password prot...-Check your bank account balance,Imagine you are using the Internet at home on secure Wi-Fi (i.e. /  personal Wi-Fi or password prot...-Purchase new clothes for yourself with your credit card,Imagine you are using the Internet at home on secure Wi-Fi (i.e. /  personal Wi-Fi or password prot...-Reply to a personal email from a friend or relative,"Imagine you are using the free, open Wi-Fi at the airport. /   /  How likely are you to do each of th...-Read today's front page news on a general news website","Imagine you are using the free, open Wi-Fi at the airport. /   /  How likely are you to do each of th...-Read information about enhancing physical fitness","Imagine you are using the free, open Wi-Fi at the airport. /   /  How likely are you to do each of th...-Post in an online group about a personal problem you are having","Imagine you are using the free, open Wi-Fi at the airport. /   /  How likely are you to do each of th...-Check your bank account balance","Imagine you are using the free, open Wi-Fi at the airport. /   /  How likely are you to do each of th...-Purchase new clothes for yourself with your credit card","Imagine you are using the free, open Wi-Fi at the airport. /   /  How likely are you to do each of th...-Reply to a personal email from a friend or relative",Please answer the / questions that follow to the best of your / knowledge. ,"When you look for / products online using Wi-Fi, how does your device communicate with / the router?",Can others using the same / Wi-Fi network see your online activity when you look for products / online?,How can you make sure / your online activity is secure when you look for products / online?,Thank you / for completing this survey! Please let the experimenter know you / are finished with this...,LocationLatitude,LocationLongitude,LocationAccuracy,
1,R_210dFUlPvU28MlI,Default Response Set,Anonymous,,,,1,2015-04-13 19:18:33,2015-04-13 19:21:09,1,,00,,2,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,3,2,1,1,,4,2,3,4,4,4,4,2,3,4,2,4,1,2,1,1,1,40.443893432617,-79.956100463867,-1,
2,R_1dKq43yqXE8BvGb,Default Response Set,Anonymous,,,,1,2015-05-11 15:11:48,2015-05-11 15:14:51,1,1,000,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,2,1,1,1,40.443893432617,-79.956100463867,-1,
3,R_3lQRUD0mDMlo2Kt,Default Response Set,Anonymous,,,,1,2015-05-19 17:42:17,2015-05-19 17:45:55,1,1,00000,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,5,5,5,5,4,4,1,1,2,3,1,2,1,1,1,40.443893432617,-79.956100463867,-1,
4,R_6swoLUHniRbJWI9,Default Response Set,Anonymous,,,,1,2015-06-01 15:18:06,2015-06-01 15:21:18,1,1,1234,3,1,3,1,2,1,4,1,1,1,2,1,1,2,3,1,3,3,2,1,2,1,3,3,4,4,4,4,4,3,1,1,3,4,1,2,1,1,1,40.443893432617,-79.956100463867,-1,
5,R_1QmDXol04KDsu8M,Default Response Set,Anonymous,,,,1,2015-06-02 11:02:22,2015-06-02 11:03:13,1,1,123,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,1,4,1,2,1,40.443893432617,-79.956100463867,-1,
6,R_307ZEirZrtLqftQ,Default Response Set,Anonymous,,,,1,2015-06-02 11:48:25,2015-06-02 12:15:26,1,1,15112,2,1,3,2,1,2,1,3,4,3,5,5,3,2,2,4,2,4,3,4,4,1,2,3,5,4,4,1,1,2,3,3,4,3,1,3,1,1,1,40.443893432617,-79.956100463867,-1,
7,R_2BaJxpXn499UU8K,Default Response Set,Anonymous,,,,1,2015-06-02 14:03:54,2015-06-02 14:35:44,1,1,123,3,4,1,3,2,3,1,1,1,3,2,1,4,1,1,2,3,4,1,1,1,1,5,5,3,5,5,5,5,4,2,2,3,4,1,2,1,1,1,40.443893432617,-79.956100463867,-1,
8,R_271KFwXM5eIiwtO,Default Response Set,Anonymous,,,,1,2015-06-02 14:58:04,2015-06-02 15:40:59,1,1,D1,5,3,1,1,1,2,1,1,1,2,1,1,4,1,2,2,2,4,3,1,1,1,4,2,1,4,2,5,4,2,1,4,1,4,1,2,1,1,1,40.443893432617,-79.956100463867,-1,
9,R_9vmIVzJI7BaGsmd,Default Response Set,Anonymous,,,,1,2015-06-03 10:58:21,2015-06-03 11:52:06,1,1,1,3,2,2,2,1,2,1,2,1,3,2,2,3,1,2,1,3,2,1,3,2,1,5,5,5,5,5,5,5,3,1,2,1,5,1,2,1,1,1,40.443893432617,-79.956100463867,-1,
